ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
0,simple,christmas-product-1,Golden gingerbread ornament,1,1,visible,Ultra-soft fleece blanket with a cheerful Santa design.,"Snuggle up with this ultra-soft, fleece blanket adorned with a cheerful Santa Claus design. Perfect for cozying up by the fire or adding a festive touch to your living room.",,,taxable,,1,,0,0,,,,,1,,32.30,38,Decorations,,,http://img.wpbrandy.com/uploads/christmas-product-1.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,christmas-product-2,Christmas wreath,1,1,visible,Soy wax candle with a warm gingerbread scent.,"Fill your home with the warm, inviting aroma of freshly baked gingerbread cookies. This soy wax candle features a delightful gingerbread scent that will bring the holiday spirit to any room.",,,taxable,,1,,0,0,,,,,1,,32.30,38,Holiday Apparel,,,http://img.wpbrandy.com/uploads/christmas-product-2.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,christmas-product-3,Biscuit in form of Christmas toy,1,1,visible,Customizable ornaments for a personal holiday touch.,Add a personal touch to your Christmas tree with these custom ornaments. Choose from various designs and add your name or a special message to create a unique keepsake.,,,taxable,,1,,0,0,,,,,1,,27,41,Stocking Stuffers,,,http://img.wpbrandy.com/uploads/christmas-product-3.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,christmas-product-4,Glass Hanger Candy Cane,1,1,visible,Complete kit for baking and decorating festive cookies.,"Everything you need to bake and decorate festive cookies, including pre-measured ingredients, cookie cutters, and colorful icing. Perfect for a fun family activity or gifting to a baking enthusiast.",,,taxable,,1,,0,0,,,,,1,,12,45,Home Decor,,,http://img.wpbrandy.com/uploads/christmas-product-4.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,christmas-product-5,Glass Hanger Candy Cane,1,1,visible,Soft reindeer plush with a red nose and jingle bell collar.,"This adorable, ultra-soft reindeer plush is perfect for kids and adults alike. With its festive red nose and jingle bell collar, it’s a delightful addition to any holiday collection.",,,taxable,,1,,0,0,,,,,1,,,13.5,Party Supplies,,,http://img.wpbrandy.com/uploads/christmas-product-5.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,christmas-product-6,Gnome with floppy legs,1,1,visible,Illustrated advent calendar with daily surprises.,"Countdown to Christmas with this beautifully illustrated advent calendar. Each day reveals a festive surprise or treat, making the holiday season even more magical.",,,taxable,,1,,0,0,,,,,1,,,33,Baking & Treats,,,http://img.wpbrandy.com/uploads/christmas-product-6.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,christmas-product-7,Colorful Christmas sock,1,1,visible,Gourmet hot cocoa mix with marshmallows and a festive mug.,"Enjoy a cozy cup of hot cocoa with this premium set, which includes gourmet cocoa mix, marshmallows, and a festive mug. Perfect for warming up on chilly winter days.",,,taxable,,1,,0,0,,,,,1,,,9.99,Stocking Stuffers,,,http://img.wpbrandy.com/uploads/christmas-product-7.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,christmas-product-8,Golden Christmas Globe,1,1,visible,Decorative pillows with festive holiday designs.,"Add a touch of holiday cheer to your home with these decorative throw pillows. Featuring seasonal designs like snowflakes, Christmas trees, and reindeer, they’re perfect for any couch or chair.",,,taxable,,1,,0,0,,,,,1,,,22,Stocking Stuffers,,,http://img.wpbrandy.com/uploads/christmas-product-8.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,christmas-product-9,Christmas Globe Blue,1,1,visible,Classic Christmas tunes on high-quality vinyl.,"Experience the magic of classic Christmas tunes on this high-quality vinyl record. Featuring timeless carols and holiday favorites, it’s a perfect gift for music lovers.",,,taxable,,1,,0,0,,,,,1,,3.99,8,Holiday Apparel,,,http://img.wpbrandy.com/uploads/christmas-product-9.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,christmas-product-10,Glass Hanger Candy Cane,1,1,visible,Fun elf hat with pointy ears for festive fun.,"Get into the holiday spirit with this fun elf hat complete with pointy ears. Perfect for holiday parties, family photos, or spreading Christmas cheer wherever you go.",,,taxable,,1,,0,0,,,,,1,,,7.55,Baking & Treats,,,http://img.wpbrandy.com/uploads/christmas-product-10.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,christmas-product-11,Biscuit in form of Christmas toy,1,1,visible,Intricately carved wooden nativity set for timeless Christmas décor.,"This beautifully handcrafted nativity set features intricately carved wooden figures of the Holy Family, animals, and the manger. A timeless piece to display during the Christmas season.",,,taxable,,1,,0,0,,,,,1,,,19.70,Decorations,,,http://img.wpbrandy.com/uploads/christmas-product-11.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,christmas-product-12,Snowflake,1,1,visible,Snowflake-shaped bath bombs with essential oils and sparkle.,"Transform your bath into a winter wonderland with these snowflake-shaped bath bombs. Infused with soothing essential oils and a hint of sparkle, they provide a relaxing and festive experience.",,,taxable,,1,,0,0,,,,,1,,,99,Baking & Treats,,,http://img.wpbrandy.com/uploads/christmas-product-12.png,,,,,,,,,0,,,,,,,,,,,,,
